"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","contrast"
"GO:0006631","fatty acid metabolic process","2/9","302/12737",0.0180691115648825,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0010573","vascular endothelial growth factor production","1/9","26/12737",0.018228055731849,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:1900016","negative regulation of cytokine production involved in inflammatory response","1/9","26/12737",0.018228055731849,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0046427","positive regulation of receptor signaling pathway via JAK-STAT","1/9","27/12737",0.0189231975380335,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0050832","defense response to fungus","1/9","27/12737",0.0189231975380335,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0072594","establishment of protein localization to organelle","2/9","324/12737",0.020634617333478,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0008210","estrogen metabolic process","1/9","30/12737",0.0210059986799506,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0009620","response to fungus","1/9","30/12737",0.0210059986799506,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0044273","sulfur compound catabolic process","1/9","30/12737",0.0210059986799506,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0090317","negative regulation of intracellular protein transport","1/9","30/12737",0.0210059986799506,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:1900181","negative regulation of protein localization to nucleus","1/9","30/12737",0.0210059986799506,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0001953","negative regulation of cell-matrix adhesion","1/9","31/12737",0.0216993917713082,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0002686","negative regulation of leukocyte migration","1/9","31/12737",0.0216993917713082,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0009218","pyrimidine ribonucleotide metabolic process","1/9","31/12737",0.0216993917713082,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0006221","pyrimidine nucleotide biosynthetic process","1/9","32/12737",0.0223923482858726,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0033628","regulation of cell adhesion mediated by integrin","1/9","32/12737",0.0223923482858726,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:1904894","positive regulation of receptor signaling pathway via STAT","1/9","32/12737",0.0223923482858726,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0006979","response to oxidative stress","2/9","341/12737",0.022717781731354,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:1901889","negative regulation of cell junction assembly","1/9","33/12737",0.0230848684641828,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:2000404","regulation of T cell migration","1/9","33/12737",0.0230848684641828,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0048662","negative regulation of smooth muscle cell proliferation","1/9","34/12737",0.0237769525466627,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0031103","axon regeneration","1/9","35/12737",0.0244686007736231,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0031102","neuron projection regeneration","1/9","37/12737",0.0258505906216637,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0042304","regulation of fatty acid biosynthetic process","1/9","39/12737",0.0272308399285219,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0042572","retinol metabolic process","1/9","39/12737",0.0272308399285219,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0006084","acetyl-CoA metabolic process","1/9","40/12737",0.0279203124785805,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0019369","arachidonate metabolic process","1/9","40/12737",0.0279203124785805,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0042246","tissue regeneration","1/9","41/12737",0.0286093506126037,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0048008","platelet-derived growth factor receptor signaling pathway","1/9","41/12737",0.0286093506126037,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0050829","defense response to Gram-negative bacterium","1/9","41/12737",0.0286093506126037,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0050830","defense response to Gram-positive bacterium","1/9","42/12737",0.0292979545701092,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0072528","pyrimidine-containing compound biosynthetic process","1/9","43/12737",0.0299861245905004,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0001525","angiogenesis","2/9","398/12737",0.0303176460637641,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0019748","secondary metabolic process","1/9","44/12737",0.030673860913069,1,1,"MARV vs Mock 1 dpi DOWN"
