"gene_symbol","log2FoldChange","padj","direction","contrast"
"KIAA0319",1.11701387643,0.00182242315730314,"UP","MARV vs Mock 1 dpi"
"HK1",2.09671209807532,0.00222141945676542,"UP","MARV vs Mock 1 dpi"
"JMJD1C",0.607516018050376,0.00223061908760126,"NS","MARV vs Mock 1 dpi"
"ZNF516",0.604960291011876,0.00223223719972727,"NS","MARV vs Mock 1 dpi"
"ANKRD54",-0.550225775953825,0.00233605030442848,"NS","MARV vs Mock 1 dpi"
"FOXO4",0.769192251529191,0.00235130367140972,"NS","MARV vs Mock 1 dpi"
"ZNF217",0.512368009874397,0.00245410748160369,"NS","MARV vs Mock 1 dpi"
"PDCD5",-0.684221984043439,0.00254571865388232,"NS","MARV vs Mock 1 dpi"
"MYO7B",1.79925354046895,0.0026383210437771,"UP","MARV vs Mock 1 dpi"
"BTAF1",0.892256757058342,0.0026588196814903,"NS","MARV vs Mock 1 dpi"
"DHRS9",2.15379288350189,0.00272317348414358,"UP","MARV vs Mock 1 dpi"
"COL1A1",0.866650620864581,0.00272317348414358,"NS","MARV vs Mock 1 dpi"
"PPP1R13L",0.919516138265303,0.00272317348414358,"NS","MARV vs Mock 1 dpi"
"ZNF436",1.28932106361704,0.0028228987521108,"UP","MARV vs Mock 1 dpi"
"TOR3A",-0.60067351836721,0.0028228987521108,"NS","MARV vs Mock 1 dpi"
"SRPRB",-0.461769807602234,0.0028228987521108,"NS","MARV vs Mock 1 dpi"
"TET2",0.816411728359054,0.0028228987521108,"NS","MARV vs Mock 1 dpi"
"FUT9",3.01426685353728,0.0028228987521108,"UP","MARV vs Mock 1 dpi"
"NDUFAF4",-0.749606982304395,0.0028228987521108,"NS","MARV vs Mock 1 dpi"
"SUN1",0.765855943495631,0.0028228987521108,"NS","MARV vs Mock 1 dpi"
"INTS6L",0.751972036615932,0.0028228987521108,"NS","MARV vs Mock 1 dpi"
"NDUFAF6",-0.682689304127469,0.0028228987521108,"NS","MARV vs Mock 1 dpi"
"PPFIBP2",0.544111989061113,0.0028228987521108,"NS","MARV vs Mock 1 dpi"
"ZFYVE26",0.70643495813283,0.0028228987521108,"NS","MARV vs Mock 1 dpi"
"MED6",-0.467801659668226,0.0028228987521108,"NS","MARV vs Mock 1 dpi"
"ATP9A",0.5704481621759,0.0028228987521108,"NS","MARV vs Mock 1 dpi"
"ILF3.AS1",-0.790201661954222,0.0028228987521108,"NS","MARV vs Mock 1 dpi"
"GYG2P1",-0.891237051386919,0.0028228987521108,"NS","MARV vs Mock 1 dpi"
"SLC36A1",1.12058321869571,0.00286623070708081,"UP","MARV vs Mock 1 dpi"
"COMTD1",-0.726532094279523,0.00286623070708081,"NS","MARV vs Mock 1 dpi"
"PIGZ",0.855445668712562,0.00306742262044923,"NS","MARV vs Mock 1 dpi"
"EEF1B2P3",-0.990719300205031,0.00327456431952538,"NS","MARV vs Mock 1 dpi"
"CCNQ",-0.848003899014496,0.00330935673468042,"NS","MARV vs Mock 1 dpi"
"SCAPER",0.632280394919928,0.00330935673468042,"NS","MARV vs Mock 1 dpi"
"NPM3",-0.725843774387655,0.00335363949283977,"NS","MARV vs Mock 1 dpi"
"CCND1",0.850984783551833,0.00344202678527386,"NS","MARV vs Mock 1 dpi"
"ACSL5",1.27851218177523,0.00344202678527386,"UP","MARV vs Mock 1 dpi"
"UBR1",0.592774848584738,0.00344202678527386,"NS","MARV vs Mock 1 dpi"
"RALGAPA2",0.674956613592281,0.00344202678527386,"NS","MARV vs Mock 1 dpi"
"MADD",0.418432794040189,0.00350372386389026,"NS","MARV vs Mock 1 dpi"
"WDR48",0.453284810534099,0.00354133276244444,"NS","MARV vs Mock 1 dpi"
"GBP2",1.4129262496719,0.00360390072312558,"UP","MARV vs Mock 1 dpi"
"POP7",-0.71705308781933,0.0036178721842825,"NS","MARV vs Mock 1 dpi"
"SNRPGP10",-1.30813184341795,0.00366177461699489,"DOWN","MARV vs Mock 1 dpi"
"ERVH48.1",1.56885946791568,0.00368905939035479,"UP","MARV vs Mock 1 dpi"
"FAM149A",1.15849664457679,0.00371827725120425,"UP","MARV vs Mock 1 dpi"
"LPIN3",1.22492372626937,0.00371827725120425,"UP","MARV vs Mock 1 dpi"
"DTYMK",-0.870634996707128,0.00374849327674982,"NS","MARV vs Mock 1 dpi"
"MED23",0.62424760844303,0.00374849327674982,"NS","MARV vs Mock 1 dpi"
"DOCK7",0.59511686097184,0.00392481180794397,"NS","MARV vs Mock 1 dpi"
"PGM1",1.46166900062393,0.00392481180794397,"UP","MARV vs Mock 1 dpi"
"GABRA2",1.91646833394086,0.00392481180794397,"UP","MARV vs Mock 1 dpi"
"SRM",-0.71597842424202,0.00393294414338293,"NS","MARV vs Mock 1 dpi"
"GRWD1",-0.581024407705364,0.00399657574203427,"NS","MARV vs Mock 1 dpi"
"AL133367.1",1.31632486788083,0.00415786691980633,"UP","MARV vs Mock 1 dpi"
"EEF2KMT",-0.81594356603865,0.00415786691980633,"NS","MARV vs Mock 1 dpi"
"KDM4B",0.837335454967906,0.00420614703862243,"NS","MARV vs Mock 1 dpi"
"PPIH",-0.487702071287002,0.00430320915266082,"NS","MARV vs Mock 1 dpi"
"HLTF",0.48512911184557,0.00430320915266082,"NS","MARV vs Mock 1 dpi"
"CXCR4",1.39892508526427,0.00430514612318525,"UP","MARV vs Mock 1 dpi"
"PIGW",-0.867450823720051,0.00430514612318525,"NS","MARV vs Mock 1 dpi"
"MTFMT",-0.448448025471311,0.00431842913174682,"NS","MARV vs Mock 1 dpi"
"IQGAP1",0.619275394638001,0.00431842913174682,"NS","MARV vs Mock 1 dpi"
"NIP7",-0.665497049488623,0.0043675279666546,"NS","MARV vs Mock 1 dpi"
"IGFBP5",3.15347226899442,0.00451248373810277,"UP","MARV vs Mock 1 dpi"
"EIF4BP6",-0.765431563220335,0.00451248373810277,"NS","MARV vs Mock 1 dpi"
