"gene_symbol","log2FoldChange","padj","direction","contrast"
"STAT1",1.660925825303,1.76558268850987e-26,"UP","MARV vs Mock 3 dpi"
"ISG15",4.24993595369667,9.08457003443456e-22,"UP","MARV vs Mock 3 dpi"
"HELZ2",3.08933193110166,2.8365656748903e-21,"UP","MARV vs Mock 3 dpi"
"MX1",4.99716833466323,7.67759653709858e-20,"UP","MARV vs Mock 3 dpi"
"IFIT1",5.51766289550548,1.05730537265304e-19,"UP","MARV vs Mock 3 dpi"
"AP001324.1",-3.23488326184524,4.02475522644108e-19,"DOWN","MARV vs Mock 3 dpi"
"OAS3",2.0460330234342,1.36655987680125e-15,"UP","MARV vs Mock 3 dpi"
"PPIAP22",-1.68186626717983,2.78259772756933e-13,"DOWN","MARV vs Mock 3 dpi"
"UCHL1",2.39558130492334,4.50372468116627e-13,"UP","MARV vs Mock 3 dpi"
"RPSAP58",-1.91835925570486,1.03352420822374e-12,"DOWN","MARV vs Mock 3 dpi"
"XIAP",1.16794215065423,2.79273553911792e-12,"UP","MARV vs Mock 3 dpi"
"EIF2AK2",1.77578458615386,4.20093457024926e-12,"UP","MARV vs Mock 3 dpi"
"USP18",2.41729774852432,1.65810988745976e-11,"UP","MARV vs Mock 3 dpi"
"IFI6",4.22129598461554,2.39692032492346e-11,"UP","MARV vs Mock 3 dpi"
"DDX58",2.41779275000315,2.53432611388828e-11,"UP","MARV vs Mock 3 dpi"
"IFIH1",1.91576710212069,2.59008071887634e-11,"UP","MARV vs Mock 3 dpi"
"EIF4BP6",-1.45419232048521,2.84322941094561e-11,"DOWN","MARV vs Mock 3 dpi"
"IRF9",1.99099327927721,4.16123784293908e-11,"UP","MARV vs Mock 3 dpi"
"PTGES3P3",-2.39933626405824,4.90783637856431e-11,"DOWN","MARV vs Mock 3 dpi"
"GAB2",1.39302597327087,1.4065704922981e-10,"UP","MARV vs Mock 3 dpi"
"RNF213",1.59464170516403,1.4065704922981e-10,"UP","MARV vs Mock 3 dpi"
"PARP9",1.75528489596947,3.25721976903608e-10,"UP","MARV vs Mock 3 dpi"
"TRIM56",1.118443206474,7.58328543001301e-10,"UP","MARV vs Mock 3 dpi"
"AGT",-2.48832495608878,7.93254137150321e-10,"DOWN","MARV vs Mock 3 dpi"
"IFIT3",3.8273975517552,1.29782845320999e-09,"UP","MARV vs Mock 3 dpi"
"TXNRD1",1.67803601447836,1.5704610703877e-09,"UP","MARV vs Mock 3 dpi"
"MDM4",1.07584016118154,1.76294300441865e-09,"UP","MARV vs Mock 3 dpi"
"AKR1C1",2.25904893799383,4.18883498062816e-09,"UP","MARV vs Mock 3 dpi"
"GPR37",1.09072992438387,4.94136685454032e-09,"UP","MARV vs Mock 3 dpi"
"ABCC5",1.17092186037316,5.26798969310748e-09,"UP","MARV vs Mock 3 dpi"
"APOL2",1.29563666303281,1.60317425377454e-08,"UP","MARV vs Mock 3 dpi"
"AHNAK",2.07507630128665,2.02612281562899e-08,"UP","MARV vs Mock 3 dpi"
"RARRES1",-1.82114435755831,2.23024116001563e-08,"DOWN","MARV vs Mock 3 dpi"
"EPSTI1",1.60544466633606,2.63466819208188e-08,"UP","MARV vs Mock 3 dpi"
"EEF1B2P3",-1.52503567471686,5.7689551963257e-08,"DOWN","MARV vs Mock 3 dpi"
"PPL",1.11132280683048,5.7689551963257e-08,"UP","MARV vs Mock 3 dpi"
"SGTB",1.1651950240725,1.29875298688015e-07,"UP","MARV vs Mock 3 dpi"
"GMDS",-0.777237093537258,1.51784300273778e-07,"NS","MARV vs Mock 3 dpi"
"PARP14",1.75323459091722,1.6800198219624e-07,"UP","MARV vs Mock 3 dpi"
"ZNFX1",1.38603678284861,2.87019545660429e-07,"UP","MARV vs Mock 3 dpi"
"STAT2",1.23499679093804,4.15168007390619e-07,"UP","MARV vs Mock 3 dpi"
"RNF31",1.02684104799266,6.25229140785658e-07,"UP","MARV vs Mock 3 dpi"
"HERC6",1.89785615593409,6.73703171124234e-07,"UP","MARV vs Mock 3 dpi"
"ZC3HAV1",1.03020729833518,8.15114322016332e-07,"UP","MARV vs Mock 3 dpi"
"PLXNA3",1.21837504446519,8.15114322016332e-07,"UP","MARV vs Mock 3 dpi"
"LINC01089",1.2465793516134,8.15114322016332e-07,"UP","MARV vs Mock 3 dpi"
"SAMHD1",1.14379236788659,8.15114322016332e-07,"UP","MARV vs Mock 3 dpi"
"USP54",0.881295121283121,2.18666302558045e-06,"NS","MARV vs Mock 3 dpi"
"TAP2",1.14495857531108,2.3263406224299e-06,"UP","MARV vs Mock 3 dpi"
"NXPE3",1.95034959486342,3.48293697866196e-06,"UP","MARV vs Mock 3 dpi"
"MAPK8IP3",0.853408123332475,4.09996352215493e-06,"NS","MARV vs Mock 3 dpi"
"CRYBB1",-4.31031460535295,4.16701786964032e-06,"DOWN","MARV vs Mock 3 dpi"
"TMEM18",-0.757331272629407,5.41420469109377e-06,"NS","MARV vs Mock 3 dpi"
"RPS3AP6",-1.1977809052456,5.41420469109377e-06,"DOWN","MARV vs Mock 3 dpi"
"RPSAP61",-3.14565975225144,6.09763284562473e-06,"DOWN","MARV vs Mock 3 dpi"
"TNRC18",1.040998636822,6.62516862602333e-06,"UP","MARV vs Mock 3 dpi"
"BRD4",0.645491791405192,7.51644296147931e-06,"NS","MARV vs Mock 3 dpi"
"LAMA5",1.10114610326933,9.86196406839025e-06,"UP","MARV vs Mock 3 dpi"
"PLSCR1",1.63441093270111,1.09476743920172e-05,"UP","MARV vs Mock 3 dpi"
"RERE",0.796404702326511,1.13218991935814e-05,"NS","MARV vs Mock 3 dpi"
"UQCRHL",-1.7096077709848,1.13565056774122e-05,"DOWN","MARV vs Mock 3 dpi"
"DNAJB4",1.37196399618132,1.13565056774122e-05,"UP","MARV vs Mock 3 dpi"
"TFB1M",-0.712779224658872,1.13565056774122e-05,"NS","MARV vs Mock 3 dpi"
"RPS23P8",-1.61055189569566,1.13565056774122e-05,"DOWN","MARV vs Mock 3 dpi"
"BCL9L",1.58008143361787,1.38772807961351e-05,"UP","MARV vs Mock 3 dpi"
"BSDC1",0.501368618147714,1.69813406034048e-05,"NS","MARV vs Mock 3 dpi"
"MRPS35",-0.619911475397451,1.79652177228918e-05,"NS","MARV vs Mock 3 dpi"
"AC027309.2",-1.87956154986668,1.87410957777045e-05,"DOWN","MARV vs Mock 3 dpi"
"AMBN",-4.16780106593536,1.93831763889161e-05,"DOWN","MARV vs Mock 3 dpi"
"PTGR1",1.37138449891251,1.93831763889161e-05,"UP","MARV vs Mock 3 dpi"
"RPL41P1",-1.1957741456418,1.94293663567672e-05,"DOWN","MARV vs Mock 3 dpi"
"MBD6",0.797797170691768,2.0172701516911e-05,"NS","MARV vs Mock 3 dpi"
"SLC25A16",0.820011452586235,2.07674219456773e-05,"NS","MARV vs Mock 3 dpi"
"DTX3L",1.23748940939717,2.26828633040655e-05,"UP","MARV vs Mock 3 dpi"
"OIP5.AS1",0.820753699134646,2.75715610776246e-05,"NS","MARV vs Mock 3 dpi"
"NUP35",-0.69485345522038,3.37025775102305e-05,"NS","MARV vs Mock 3 dpi"
"PCSK6",-2.49734007141539,3.6063008287608e-05,"DOWN","MARV vs Mock 3 dpi"
"SLIRP",-1.10278765675791,3.68729290462411e-05,"DOWN","MARV vs Mock 3 dpi"
"RPL12P4",-1.84443816930465,4.09664940132368e-05,"DOWN","MARV vs Mock 3 dpi"
"CMPK2",2.24931531036396,4.15422305748113e-05,"UP","MARV vs Mock 3 dpi"
"LIAS",-0.844211539819378,4.80846501256786e-05,"NS","MARV vs Mock 3 dpi"
"DST",0.886824288707531,4.80846501256786e-05,"NS","MARV vs Mock 3 dpi"
"ORC5",-0.606777690338298,4.90892666512445e-05,"NS","MARV vs Mock 3 dpi"
"AJUBA",1.11406520898014,5.38191813599748e-05,"UP","MARV vs Mock 3 dpi"
