"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","contrast"
"GO:1903055","positive regulation of extracellular matrix organization","2/596","27/12737",0.362467233112678,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:2000406","positive regulation of T cell migration","2/596","27/12737",0.362467233112678,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0001954","positive regulation of cell-matrix adhesion","3/596","46/12737",0.365515262634483,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0034204","lipid translocation","3/596","46/12737",0.365515262634483,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0043525","positive regulation of neuron apoptotic process","3/596","46/12737",0.365515262634483,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0050795","regulation of behavior","3/596","46/12737",0.365515262634483,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0071384","cellular response to corticosteroid stimulus","3/596","46/12737",0.365515262634483,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0150076","neuroinflammatory response","3/596","46/12737",0.365515262634483,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:1901379","regulation of potassium ion transmembrane transport","3/596","46/12737",0.365515262634483,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0061982","meiosis I cell cycle process","5/596","85/12737",0.366553690653738,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:1903707","negative regulation of hemopoiesis","5/596","85/12737",0.366553690653738,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0030072","peptide hormone secretion","9/596","165/12737",0.367273472202933,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","9/596","165/12737",0.367273472202933,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0002685","regulation of leukocyte migration","8/596","145/12737",0.368246209516547,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0002791","regulation of peptide secretion","8/596","145/12737",0.368246209516547,1,1,"EBOV vs Mock 3 dpi DOWN"
