"gene_symbol","log2FoldChange","padj","direction","contrast"
"IGF1R",0.938032575001575,1.17079327516729e-08,"NS","EBOV vs Mock 3 dpi"
"DOT1L",1.00163159342531,5.94541199868489e-08,"UP","EBOV vs Mock 3 dpi"
"LAMA5",1.35143759520764,7.59387585312688e-08,"UP","EBOV vs Mock 3 dpi"
"RAI1",0.857226559960436,1.32283607865554e-07,"NS","EBOV vs Mock 3 dpi"
"BRD4",0.730842114261312,1.12685708258708e-06,"NS","EBOV vs Mock 3 dpi"
"ELMSAN1",0.872527407027253,2.05924878708793e-06,"NS","EBOV vs Mock 3 dpi"
"MAPK15",1.41607893980256,2.98471077049687e-06,"UP","EBOV vs Mock 3 dpi"
"RARRES1",-1.68331435043174,3.02611786570465e-06,"DOWN","EBOV vs Mock 3 dpi"
"RASGEF1B",-0.968765566787454,3.54105917031138e-06,"NS","EBOV vs Mock 3 dpi"
"ERRFI1",1.22513184313905,3.60103956909523e-06,"UP","EBOV vs Mock 3 dpi"
"SEC16A",0.736368667875941,5.72674473952678e-06,"NS","EBOV vs Mock 3 dpi"
"NCOR2",0.841104711072841,5.72674473952678e-06,"NS","EBOV vs Mock 3 dpi"
"SPEN",1.06980415808551,5.7758817210565e-06,"UP","EBOV vs Mock 3 dpi"
"SETD5",0.762371996686796,7.12842509541631e-06,"NS","EBOV vs Mock 3 dpi"
"PLEC",1.55061354438219,7.43001940595167e-06,"UP","EBOV vs Mock 3 dpi"
"SLC38A9",-0.760207143295353,8.65054212182998e-06,"NS","EBOV vs Mock 3 dpi"
"MAPK8IP3",0.859937527799991,1.01916885202701e-05,"NS","EBOV vs Mock 3 dpi"
"PTPN23",0.763915307546978,1.40067488658095e-05,"NS","EBOV vs Mock 3 dpi"
"PRRC2B",1.03781483801436,1.45678686817773e-05,"UP","EBOV vs Mock 3 dpi"
"ERVMER34.1",-1.10709001235124,1.79188081930202e-05,"DOWN","EBOV vs Mock 3 dpi"
"LENG8",1.21311960378921,1.79188081930202e-05,"UP","EBOV vs Mock 3 dpi"
"NAT8L",0.95951013137319,2.81466081257645e-05,"NS","EBOV vs Mock 3 dpi"
"NLGN2",1.67610609151613,2.97454126903707e-05,"UP","EBOV vs Mock 3 dpi"
"DLG4",1.60572636226464,3.50243883694753e-05,"UP","EBOV vs Mock 3 dpi"
"TRPM6",-1.53382587290383,3.83281956973986e-05,"DOWN","EBOV vs Mock 3 dpi"
"NMI",-1.51719652120989,5.10188312450664e-05,"DOWN","EBOV vs Mock 3 dpi"
"PPP1R18",1.04335359368191,5.25159438589875e-05,"UP","EBOV vs Mock 3 dpi"
"HSPG2",1.6357712534341,5.34808942256448e-05,"UP","EBOV vs Mock 3 dpi"
"KDM5C",0.773697765785365,6.28348935753426e-05,"NS","EBOV vs Mock 3 dpi"
"TNKS1BP1",0.796670093632784,6.71732390128841e-05,"NS","EBOV vs Mock 3 dpi"
"PLEKHG5",1.03218290550377,7.93707787679285e-05,"UP","EBOV vs Mock 3 dpi"
"AC116562.4",-1.40374537062917,8.0068125698868e-05,"DOWN","EBOV vs Mock 3 dpi"
"RBFOX2",0.596550339476292,9.40200476499443e-05,"NS","EBOV vs Mock 3 dpi"
"SRRM2",1.13791846242406,9.96779121833899e-05,"UP","EBOV vs Mock 3 dpi"
"PLXNA3",1.05583165019281,0.00011387851171571,"UP","EBOV vs Mock 3 dpi"
"YEATS2",0.696115943105581,0.000129529233469589,"NS","EBOV vs Mock 3 dpi"
"PAPPA2",-6.44283770138664,0.000135865629235445,"DOWN","EBOV vs Mock 3 dpi"
"HMBOX1",1.04249649789768,0.000135865629235445,"UP","EBOV vs Mock 3 dpi"
"GPNMB",-4.16229523605327,0.000171011073644496,"DOWN","EBOV vs Mock 3 dpi"
"PRR12",0.894569442395821,0.000185332528559507,"NS","EBOV vs Mock 3 dpi"
"ABCA2",1.14786633950051,0.000208872743881769,"UP","EBOV vs Mock 3 dpi"
"FAT3",-6.2535166714384,0.000212461165165983,"DOWN","EBOV vs Mock 3 dpi"
"KMT2D",1.10964595469224,0.000229103590247097,"UP","EBOV vs Mock 3 dpi"
