"gene_symbol","log2FoldChange","padj","direction","contrast"
"LRP1",1.35857670141221,0.000160876330344873,"UP","EBOV vs Mock 1 dpi"
"ST8SIA6",1.40577864939775,0.000165897910502604,"UP","EBOV vs Mock 1 dpi"
"MYO15B",1.20560662558333,0.000192912711890563,"UP","EBOV vs Mock 1 dpi"
"OGFOD1",-0.649733093967201,0.000215206232611316,"NS","EBOV vs Mock 1 dpi"
"CDC20",-0.833446938796009,0.000259138555598664,"NS","EBOV vs Mock 1 dpi"
"YWHAB",-0.549356436625948,0.000267844339755207,"NS","EBOV vs Mock 1 dpi"
"UAP1L1",0.94395624694982,0.000270267575228772,"NS","EBOV vs Mock 1 dpi"
"PRSS53",1.8439601143648,0.000270267575228772,"UP","EBOV vs Mock 1 dpi"
"FXN",-0.776755890418691,0.000273938588257035,"NS","EBOV vs Mock 1 dpi"
"NIP7",-0.786021007165532,0.000283631242408637,"NS","EBOV vs Mock 1 dpi"
"KIAA0319",1.21245228402867,0.000300643773283701,"UP","EBOV vs Mock 1 dpi"
"SMPD3",1.41571109003871,0.000310171342705821,"UP","EBOV vs Mock 1 dpi"
"B3GNT3",1.46314364187492,0.000310171342705821,"UP","EBOV vs Mock 1 dpi"
"KANSL1",0.458464462491841,0.000329043704965017,"NS","EBOV vs Mock 1 dpi"
"FUT9",3.36947502284742,0.00033820519199709,"UP","EBOV vs Mock 1 dpi"
"PHF21A",0.71302743452907,0.00038026427240389,"NS","EBOV vs Mock 1 dpi"
"PSME3",-0.608516263226876,0.000390820683891322,"NS","EBOV vs Mock 1 dpi"
"EFEMP2",1.73805303745152,0.00039390254131901,"UP","EBOV vs Mock 1 dpi"
"TLE6",1.35647027218966,0.000442732841713754,"UP","EBOV vs Mock 1 dpi"
"TIMM23",-0.708214813576096,0.00044479065713302,"NS","EBOV vs Mock 1 dpi"
"MUC17",2.73656780227749,0.000451697724870839,"UP","EBOV vs Mock 1 dpi"
