"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","contrast"
"GO:0007186","G protein-coupled receptor signaling pathway","50/607","490/12737",2.75258889563566e-07,0.00143299777906792,0.00143299777906792,"MARV vs Mock 3 dpi DOWN"
"GO:0003013","circulatory system process","42/607","394/12737",8.14324848641758e-07,0.0021196875810145,0.0021196875810145,"MARV vs Mock 3 dpi DOWN"
"GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","22/607","151/12737",2.69764700824925e-06,0.00294009495916895,0.00294009495916895,"MARV vs Mock 3 dpi DOWN"
"GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","18/607","107/12737",2.73569437663274e-06,0.00294009495916895,0.00294009495916895,"MARV vs Mock 3 dpi DOWN"
"GO:0031644","regulation of nervous system process","15/607","77/12737",2.8237562035814e-06,0.00294009495916895,0.00294009495916895,"MARV vs Mock 3 dpi DOWN"
"GO:0044057","regulation of system process","37/607","357/12737",7.13247049415566e-06,0.0061886068987624,0.0061886068987624,"MARV vs Mock 3 dpi DOWN"
"GO:0003341","cilium movement","20/607","139/12737",9.24064591265414e-06,0.0068724003744682,0.0068724003744682,"MARV vs Mock 3 dpi DOWN"
"GO:0097006","regulation of plasma lipoprotein particle levels","13/607","66/12737",1.14189937398081e-05,0.00743091017618014,0.00743091017618014,"MARV vs Mock 3 dpi DOWN"
"GO:0042391","regulation of membrane potential","30/607","276/12737",2.12124230570127e-05,0.0122702082705342,0.0122702082705342,"MARV vs Mock 3 dpi DOWN"
"GO:0035082","axoneme assembly","11/607","52/12737",2.66481932343623e-05,0.013873049397809,0.013873049397809,"MARV vs Mock 3 dpi DOWN"
"GO:0003351","epithelial cilium movement involved in extracellular fluid movement","6/607","15/12737",3.95346818567052e-05,0.0142062612922381,0.0142062612922381,"MARV vs Mock 3 dpi DOWN"
"GO:2000831","regulation of steroid hormone secretion","6/607","15/12737",3.95346818567052e-05,0.0142062612922381,0.0142062612922381,"MARV vs Mock 3 dpi DOWN"
"GO:0030198","extracellular matrix organization","24/607","205/12737",4.28616459367289e-05,0.0142062612922381,0.0142062612922381,"MARV vs Mock 3 dpi DOWN"
"GO:0043062","extracellular structure organization","24/607","205/12737",4.28616459367289e-05,0.0142062612922381,0.0142062612922381,"MARV vs Mock 3 dpi DOWN"
"GO:0034368","protein-lipid complex remodeling","8/607","29/12737",4.47489158911644e-05,0.0142062612922381,0.0142062612922381,"MARV vs Mock 3 dpi DOWN"
"GO:0034369","plasma lipoprotein particle remodeling","8/607","29/12737",4.47489158911644e-05,0.0142062612922381,0.0142062612922381,"MARV vs Mock 3 dpi DOWN"
"GO:0045229","external encapsulating structure organization","24/607","206/12737",4.639001958664e-05,0.0142062612922381,0.0142062612922381,"MARV vs Mock 3 dpi DOWN"
"GO:0034367","protein-containing complex remodeling","8/607","30/12737",5.84964951372331e-05,0.016918486315802,0.016918486315802,"MARV vs Mock 3 dpi DOWN"
"GO:0008015","blood circulation","32/607","324/12737",7.56168863481272e-05,0.0207190268593868,0.0207190268593868,"MARV vs Mock 3 dpi DOWN"
"GO:0002385","mucosal immune response","6/607","17/12737",9.0067890461613e-05,0.0218679725253386,0.0218679725253386,"MARV vs Mock 3 dpi DOWN"
"GO:0010744","positive regulation of macrophage derived foam cell differentiation","6/607","17/12737",9.0067890461613e-05,0.0218679725253386,0.0218679725253386,"MARV vs Mock 3 dpi DOWN"
"GO:0051932","synaptic transmission, GABAergic","8/607","32/12737",9.66122489594292e-05,0.0218679725253386,0.0218679725253386,"MARV vs Mock 3 dpi DOWN"
"GO:0140353","lipid export from cell","8/607","32/12737",9.66122489594292e-05,0.0218679725253386,0.0218679725253386,"MARV vs Mock 3 dpi DOWN"
"GO:0042110","T cell activation","32/607","329/12737",0.000101064096220948,0.0219224868719272,0.0219224868719272,"MARV vs Mock 3 dpi DOWN"
"GO:0071827","plasma lipoprotein particle organization","9/607","42/12737",0.000129601497534968,0.0241123394437179,0.0241123394437179,"MARV vs Mock 3 dpi DOWN"
"GO:0002251","organ or tissue specific immune response","6/607","18/12737",0.000129686036193642,0.0241123394437179,0.0241123394437179,"MARV vs Mock 3 dpi DOWN"
"GO:0006858","extracellular transport","6/607","18/12737",0.000129686036193642,0.0241123394437179,0.0241123394437179,"MARV vs Mock 3 dpi DOWN"
"GO:0035929","steroid hormone secretion","6/607","18/12737",0.000129686036193642,0.0241123394437179,0.0241123394437179,"MARV vs Mock 3 dpi DOWN"
"GO:2000846","regulation of corticosteroid hormone secretion","5/607","12/12737",0.000144781362133397,0.0254169249026173,0.0254169249026173,"MARV vs Mock 3 dpi DOWN"
"GO:0051606","detection of stimulus","16/607","118/12737",0.000146467104701982,0.0254169249026173,0.0254169249026173,"MARV vs Mock 3 dpi DOWN"
"GO:0007600","sensory perception","27/607","264/12737",0.000153024004630756,0.0256981602615392,0.0256981602615392,"MARV vs Mock 3 dpi DOWN"
"GO:0071825","protein-lipid complex organization","9/607","44/12737",0.000189237900451993,0.0307866409297837,0.0307866409297837,"MARV vs Mock 3 dpi DOWN"
"GO:0008037","cell recognition","12/607","75/12737",0.000204605427289462,0.0322780561960284,0.0322780561960284,"MARV vs Mock 3 dpi DOWN"
"GO:0010817","regulation of hormone levels","34/607","376/12737",0.000252766324754774,0.0387029849021575,0.0387029849021575,"MARV vs Mock 3 dpi DOWN"
"GO:0006959","humoral immune response","15/607","112/12737",0.000268677815315153,0.0399639059008767,0.0399639059008767,"MARV vs Mock 3 dpi DOWN"
"GO:0009887","animal organ morphogenesis","39/607","457/12737",0.000300565719237983,0.0429100689065506,0.0429100689065506,"MARV vs Mock 3 dpi DOWN"
"GO:0099537","trans-synaptic signaling","41/607","490/12737",0.000319486819545803,0.0429100689065506,0.0429100689065506,"MARV vs Mock 3 dpi DOWN"
"GO:0098771","inorganic ion homeostasis","28/607","291/12737",0.000323120593256225,0.0429100689065506,0.0429100689065506,"MARV vs Mock 3 dpi DOWN"
"GO:0007288","sperm axoneme assembly","6/607","21/12737",0.000335372816809477,0.0429100689065506,0.0429100689065506,"MARV vs Mock 3 dpi DOWN"
"GO:0007588","excretion","5/607","14/12737",0.000337939459310137,0.0429100689065506,0.0429100689065506,"MARV vs Mock 3 dpi DOWN"
"GO:0035930","corticosteroid hormone secretion","5/607","14/12737",0.000337939459310137,0.0429100689065506,0.0429100689065506,"MARV vs Mock 3 dpi DOWN"
"GO:0009593","detection of chemical stimulus","8/607","38/12737",0.000348883284720682,0.0432449138156159,0.0432449138156159,"MARV vs Mock 3 dpi DOWN"
"GO:1905952","regulation of lipid localization","15/607","115/12737",0.00035964031179769,0.0435415689120646,0.0435415689120646,"MARV vs Mock 3 dpi DOWN"
